object_id	tag
85dfcc22-5b3d-5b60-b19d-f6ff4c733d1f	aberration
85dfcc22-5b3d-5b60-b19d-f6ff4c733d1f	drop
85dfcc22-5b3d-5b60-b19d-f6ff4c733d1f	white
0d3fc51b-bbb3-5055-9ffc-53f4bfcbd9fc	drop
0d3fc51b-bbb3-5055-9ffc-53f4bfcbd9fc	island
0d3fc51b-bbb3-5055-9ffc-53f4bfcbd9fc	white
b7cb43ea-e1f5-5625-83b3-b70f0498f392	scorched
b7cb43ea-e1f5-5625-83b3-b70f0498f392	treasure
b7cb43ea-e1f5-5625-83b3-b70f0498f392	white
bee7d9c3-cbd4-5fde-be03-82896bc95090	drop
bee7d9c3-cbd4-5fde-be03-82896bc95090	scorched
bee7d9c3-cbd4-5fde-be03-82896bc95090	white
3be3a98a-5aa2-5cb6-a8bf-12d9aa855377	aberration
3be3a98a-5aa2-5cb6-a8bf-12d9aa855377	bonus
3be3a98a-5aa2-5cb6-a8bf-12d9aa855377	drop
3be3a98a-5aa2-5cb6-a8bf-12d9aa855377	white
d57d736a-9066-5a9f-a017-30498bf9e07d	bonus
d57d736a-9066-5a9f-a017-30498bf9e07d	drop
d57d736a-9066-5a9f-a017-30498bf9e07d	island
d57d736a-9066-5a9f-a017-30498bf9e07d	white
57ed48e0-a5ee-5e08-9c67-3e83d1c387c8	bonus
57ed48e0-a5ee-5e08-9c67-3e83d1c387c8	drop
57ed48e0-a5ee-5e08-9c67-3e83d1c387c8	scorched
57ed48e0-a5ee-5e08-9c67-3e83d1c387c8	white
37119194-626e-5c9a-b9e4-4e7dd7a3d7bb	aberration
37119194-626e-5c9a-b9e4-4e7dd7a3d7bb	drop
37119194-626e-5c9a-b9e4-4e7dd7a3d7bb	green
8641c702-ac39-5859-9891-29ec02635f66	drop
8641c702-ac39-5859-9891-29ec02635f66	green
8641c702-ac39-5859-9891-29ec02635f66	island
2779607d-02c6-5ce7-b432-0369bdd0d3f5	green
2779607d-02c6-5ce7-b432-0369bdd0d3f5	scorched
2779607d-02c6-5ce7-b432-0369bdd0d3f5	treasure
ea4cf64f-3375-5cf5-8c07-3999c5782095	drop
ea4cf64f-3375-5cf5-8c07-3999c5782095	green
ea4cf64f-3375-5cf5-8c07-3999c5782095	scorched
