object_id	content_pack_id	label	alternate_label	availability	path	class_string	last_update	tags	incubation_time	mature_time	stats	used_stats	mating_interval_min	mating_interval_max	name_tag
e30c21ad-a1fb-5916-9727-106819582b58	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Achatina		8	/Game/PrimalEarth/Dinos/Achatina/Achatina_Character_BP_Aberrant.Achatina_Character_BP_Aberrant	Achatina_Character_BP_Aberrant_C	1752074258	object			[]	919			Achatina
0a16047c-8918-590e-8f2d-7da8df4402d2	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Anglerfish		136	/Game/PrimalEarth/Dinos/Anglerfish/Angler_Character_BP_Aberrant.Angler_Character_BP_Aberrant	Angler_Character_BP_Aberrant_C	1759902152	object			[]	919			Angler
c90915d8-0344-5d4f-919e-dc42f90cdd84	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Ankylosaurus		8	/Game/PrimalEarth/Dinos/Ankylo/Ankylo_Character_BP_Aberrant.Ankylo_Character_BP_Aberrant	Ankylo_Character_BP_Aberrant_C	1752074258	object			[]	927			Anky
942499fa-1ac0-5da3-a1ba-727be8296f9d	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Araneo		136	/Game/PrimalEarth/Dinos/Spider-Small/SpiderS_Character_BP_Aberrant.SpiderS_Character_BP_Aberrant	SpiderS_Character_BP_Aberrant_C	1759902152	object			[]	927			Spider
445de0a5-6278-5e9d-962d-b5be407c2924	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Arthropluera		8	/Game/PrimalEarth/Dinos/Arthropluera/Arthro_Character_BP_Aberrant.Arthro_Character_BP_Aberrant	Arthro_Character_BP_Aberrant_C	1752074258	object			[]	919			Arthro
be3d234c-a849-57b8-9a76-6a4f6510d8a3	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Baryonyx		136	/Game/PrimalEarth/Dinos/Baryonyx/Baryonyx_Character_BP_Aberrant.Baryonyx_Character_BP_Aberrant	Baryonyx_Character_BP_Aberrant_C	1759902152	object			[]	919			Baryonyx
9408d42a-8ab9-5842-aa47-2331b2032931	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Beelzebufo		136	/Game/PrimalEarth/Dinos/Toad/Toad_Character_BP_Aberrant.Toad_Character_BP_Aberrant	Toad_Character_BP_Aberrant_C	1759902152	object			[]	919			Toad
58ee8c16-3811-5c26-af4d-37ab4a04bc0d	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Carbonemys		168	/Game/PrimalEarth/Dinos/Turtle/Turtle_Character_BP_Aberrant.Turtle_Character_BP_Aberrant	Turtle_Character_BP_Aberrant_C	1759902152	object			[]	919			Turtle
ab039c98-009b-566f-8d3f-ab79fbca3e31	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Carnotaurus		168	/Game/PrimalEarth/Dinos/Carno/Carno_Character_BP_Aberrant.Carno_Character_BP_Aberrant	Carno_Character_BP_Aberrant_C	1759902152	object			[]	927			Carno
f7ecccd9-1555-5512-b75b-0ace657c3b23	b32a3d73-9406-56f2-bd8f-936ee0275249	Aberrant Cnidaria		8	/Game/PrimalEarth/Dinos/Cnidaria/Cnidaria_Character_BP_Aberrant.Cnidaria_Character_BP_Aberrant	Cnidaria_Character_BP_Aberrant_C	1752074258	object			[]	919			Cnidaria
